time,FLOW
2013-05-16,0.015
2013-05-17,0.0141
2013-05-18,0.017
2013-05-19,0.0241
2013-05-20,0.0385
2013-05-21,0.0264
2013-05-22,0.0204
2013-05-23,0.0197
2013-05-24,0.0186
2013-05-25,0.0162
2013-05-26,0.0149
2013-05-27,0.0141
2013-05-28,0.0141
2013-05-29,0.014
2013-05-30,0.0132
2013-05-31,0.0143
2013-06-01,0.0136
2013-06-02,0.0175
2013-06-03,0.0155
2013-06-04,0.0133
2013-06-05,0.0123
2013-06-06,0.0577
2013-06-07,0.0459
2013-06-08,0.0332
2013-06-09,0.0245
2013-06-10,0.0265
2013-06-11,0.0286
2013-06-12,0.0233
2013-06-13,0.0219
2013-06-14,0.0182
2013-06-15,0.0159
2013-06-16,0.0151
2013-06-17,0.0151
2013-06-18,0.0175
2013-06-19,0.015
2013-06-20,0.0137
2013-06-21,0.0128
2013-06-22,0.0125
2013-06-23,0.0122
2013-06-24,0.0117
2013-06-25,0.0115
2013-06-26,0.0155
2013-06-27,0.0127
2013-06-28,0.0119
2013-06-29,0.0113
2013-06-30,0.0113
2013-07-01,0.0109
2013-07-02,0.0407
2013-07-03,0.0816
2013-07-04,0.0947
2013-07-05,0.0584
2013-07-06,0.0372
2013-07-07,0.0302
2013-07-08,0.0263
2013-07-09,0.0222
2013-07-10,0.0763
2013-07-11,0.0748
2013-07-12,0.059
2013-07-13,0.0437
2013-07-14,0.0423
2013-07-15,0.0348
2013-07-16,0.0294
2013-07-17,0.0264
2013-07-18,0.025
2013-07-19,0.0234
2013-07-20,0.0222
2013-07-21,0.022
2013-07-22,0.0209
2013-07-23,0.0199
2013-07-24,0.0185
2013-07-25,0.0171
2013-07-26,0.0163
2013-07-27,0.0178
2013-07-28,0.017
2013-07-29,0.0152
2013-07-30,0.0141
2013-07-31,0.0139
2013-08-01,0.0149
2013-08-02,0.0135
2013-08-03,0.0128
2013-08-04,0.0124
2013-08-05,0.0112
2013-08-06,0.0122
2013-08-07,0.0123
2013-08-08,0.0215
2013-08-09,0.0168
2013-08-10,0.0133
2013-08-11,0.0148
2013-08-12,0.0139
2013-08-13,0.0132
2013-08-14,0.0116
2013-08-15,0.0102
2013-08-16,0.0101
2013-08-17,0.0104
2013-08-18,0.0199
2013-08-19,0.0142
2013-08-20,0.0122
2013-08-21,0.0112
2013-08-22,0.0112
2013-08-23,0.0102
2013-08-24,0.0097
2013-08-25,0.0088
2013-08-26,0.0086
2013-08-27,0.009
2013-08-28,0.0095
2013-08-29,0.0091
2013-08-30,0.0082
2013-08-31,0.0089
2013-09-01,0.0087
2013-09-02,0.0082
2013-09-03,0.0078
2013-09-04,0.0069
2013-09-05,0.0069
2013-09-06,0.0062
2013-09-07,0.0062
2013-09-08,0.0066
2013-09-09,0.0063
2013-09-10,0.0126
2013-09-11,0.0238
2013-09-12,0.0221
2013-09-13,0.0211
2013-09-14,0.0207
2013-09-15,0.0203
2013-09-16,0.0208
2013-09-17,0.0202
2013-09-18,0.0198
2013-09-19,0.0197
2013-09-20,0.0215
2013-09-21,0.0246
2013-09-22,0.0227
2013-09-23,0.0207
2013-09-24,0.02
2013-09-25,0.0199
2013-09-26,0.0201
2013-09-27,0.0199
2013-09-28,0.019
2013-09-29,0.0193
2013-09-30,0.0185
2013-10-01,0.0185
2013-10-02,0.0185
2013-10-03,0.018
2013-10-04,0.0179
2013-10-05,0.018
2013-10-06,0.0171
2013-10-07,0.0293
2013-10-08,0.0198
2013-10-09,0.0184
2013-10-10,0.0209
2013-10-11,0.0196
2013-10-12,0.0192
2013-10-13,0.0184
2013-10-14,0.019
2013-10-15,0.0178
2013-10-16,0.0174
2013-10-17,0.0175
2013-10-18,0.0177
2013-10-19,0.0166
2013-10-20,0.0172
2013-10-21,0.0165
2013-10-22,0.0164
2013-10-23,0.018
2013-10-24,0.0176
2013-10-25,0.018
2013-10-26,0.017
2013-10-27,0.0172
2013-10-28,0.0173
2013-10-29,0.0168
2013-10-30,0.0166
2013-10-31,0.0158
2013-11-01,0.0177
2013-11-02,0.0183
2013-11-03,0.0194
2013-11-04,0.0187
2013-11-05,0.0183
2013-11-06,0.0177
2013-11-07,0.0194
2013-11-08,0.0204
2013-11-09,0.0197
2013-11-10,0.0202
2013-11-11,0.0195
2013-11-12,0.0214
2013-11-13,0.0212
2013-11-14,0.0203
2013-11-15,0.0205
2013-11-16,0.0229
2013-11-17,0.0198
2013-11-18,0.0227
2013-11-19,0.0223
2013-11-20,0.0212
2013-11-21,0.0201
2013-11-22,0.0195
